timestamp, power.draw []
2023/11/20 16:28:41.937, 50.85 
2023/11/20 16:28:41.942, 50.85 
2023/11/20 16:28:41.947, 51.00 
2023/11/20 16:28:41.952, 51.00 
2023/11/20 16:28:41.957, 51.00 
2023/11/20 16:28:41.962, 51.00 
2023/11/20 16:28:41.967, 51.00 
2023/11/20 16:28:41.972, 51.00 
2023/11/20 16:28:41.978, 51.00 
2023/11/20 16:28:41.983, 51.00 
2023/11/20 16:28:41.988, 51.00 
2023/11/20 16:28:41.993, 51.00 
2023/11/20 16:28:41.998, 51.00 
2023/11/20 16:28:42.003, 51.00 
2023/11/20 16:28:42.008, 51.00 
2023/11/20 16:28:42.013, 51.00 
2023/11/20 16:28:42.018, 51.00 
2023/11/20 16:28:42.023, 51.00 
2023/11/20 16:28:42.028, 51.00 
2023/11/20 16:28:42.034, 51.00 
2023/11/20 16:28:42.039, 51.00 
2023/11/20 16:28:42.044, 50.65 
2023/11/20 16:28:42.049, 50.65 
2023/11/20 16:28:42.054, 50.65 
2023/11/20 16:28:42.059, 50.65 
2023/11/20 16:28:42.066, 50.65 
2023/11/20 16:28:42.071, 50.65 
2023/11/20 16:28:42.076, 50.65 
2023/11/20 16:28:42.081, 50.65 
2023/11/20 16:28:42.086, 50.65 
2023/11/20 16:28:42.092, 50.65 
2023/11/20 16:28:42.097, 50.65 
2023/11/20 16:28:42.102, 50.65 
2023/11/20 16:28:42.107, 50.65 
2023/11/20 16:28:42.112, 50.65 
2023/11/20 16:28:42.117, 50.65 
2023/11/20 16:28:42.122, 50.65 
2023/11/20 16:28:42.127, 50.65 
2023/11/20 16:28:42.132, 50.65 
2023/11/20 16:28:42.137, 50.65 
2023/11/20 16:28:42.143, 50.65 
2023/11/20 16:28:42.148, 50.66 
2023/11/20 16:28:42.153, 50.66 
2023/11/20 16:28:42.158, 50.66 
2023/11/20 16:28:42.163, 50.66 
2023/11/20 16:28:42.168, 50.66 
2023/11/20 16:28:42.173, 50.66 
2023/11/20 16:28:42.178, 50.66 
2023/11/20 16:28:42.183, 50.66 
2023/11/20 16:28:42.188, 50.66 
2023/11/20 16:28:42.194, 50.66 
2023/11/20 16:28:42.199, 50.66 
2023/11/20 16:28:42.204, 50.66 
2023/11/20 16:28:42.209, 50.66 
2023/11/20 16:28:42.214, 50.66 
2023/11/20 16:28:42.219, 50.66 
2023/11/20 16:28:42.225, 50.66 
2023/11/20 16:28:42.230, 50.66 
2023/11/20 16:28:42.235, 50.66 
2023/11/20 16:28:42.240, 50.66 
2023/11/20 16:28:42.245, 50.83 
2023/11/20 16:28:42.250, 50.83 
2023/11/20 16:28:42.255, 50.83 
2023/11/20 16:28:42.260, 50.83 
2023/11/20 16:28:42.265, 50.83 
2023/11/20 16:28:42.270, 50.83 
2023/11/20 16:28:42.276, 50.83 
2023/11/20 16:28:42.281, 50.83 
2023/11/20 16:28:42.286, 50.83 
2023/11/20 16:28:42.291, 50.83 
2023/11/20 16:28:42.296, 50.83 
2023/11/20 16:28:42.301, 50.83 
2023/11/20 16:28:42.306, 50.83 
2023/11/20 16:28:42.311, 50.83 
2023/11/20 16:28:42.316, 50.83 
2023/11/20 16:28:42.321, 50.83 
2023/11/20 16:28:42.327, 50.83 
2023/11/20 16:28:42.332, 50.83 
2023/11/20 16:28:42.337, 50.83 
2023/11/20 16:28:42.346, 50.49 
2023/11/20 16:28:42.351, 50.49 
2023/11/20 16:28:42.356, 50.49 
2023/11/20 16:28:42.361, 50.49 
2023/11/20 16:28:42.366, 50.49 
2023/11/20 16:28:42.371, 50.49 
2023/11/20 16:28:42.376, 50.49 
2023/11/20 16:28:42.382, 50.49 
2023/11/20 16:28:42.387, 50.49 
2023/11/20 16:28:42.392, 50.49 
2023/11/20 16:28:42.397, 50.49 
2023/11/20 16:28:42.402, 50.49 
2023/11/20 16:28:42.408, 50.49 
2023/11/20 16:28:42.413, 50.49 
2023/11/20 16:28:42.418, 50.49 
2023/11/20 16:28:42.423, 50.49 
2023/11/20 16:28:42.428, 50.49 
2023/11/20 16:28:42.433, 50.49 
2023/11/20 16:28:42.439, 50.49 
2023/11/20 16:28:42.444, 50.32 
2023/11/20 16:28:42.449, 50.32 
2023/11/20 16:28:42.454, 50.32 
2023/11/20 16:28:42.459, 50.32 
2023/11/20 16:28:42.464, 50.32 
2023/11/20 16:28:42.470, 50.32 
2023/11/20 16:28:42.475, 50.32 
2023/11/20 16:28:42.480, 50.32 
2023/11/20 16:28:42.485, 50.32 
2023/11/20 16:28:42.490, 50.32 
2023/11/20 16:28:42.495, 50.32 
2023/11/20 16:28:42.500, 50.32 
2023/11/20 16:28:42.506, 50.32 
2023/11/20 16:28:42.511, 50.32 
2023/11/20 16:28:42.516, 50.32 
2023/11/20 16:28:42.521, 50.32 
2023/11/20 16:28:42.526, 50.32 
2023/11/20 16:28:42.531, 50.32 
2023/11/20 16:28:42.537, 50.32 
2023/11/20 16:28:42.542, 50.32 
2023/11/20 16:28:42.547, 50.01 
2023/11/20 16:28:42.552, 50.01 
2023/11/20 16:28:42.557, 50.01 
2023/11/20 16:28:42.562, 50.01 
2023/11/20 16:28:42.568, 50.01 
2023/11/20 16:28:42.573, 50.01 
2023/11/20 16:28:42.578, 50.01 
2023/11/20 16:28:42.583, 50.01 
2023/11/20 16:28:42.588, 50.01 
2023/11/20 16:28:42.593, 50.01 
2023/11/20 16:28:42.599, 50.01 
2023/11/20 16:28:42.604, 50.01 
2023/11/20 16:28:42.609, 50.01 
2023/11/20 16:28:42.614, 50.01 
2023/11/20 16:28:42.619, 50.01 
2023/11/20 16:28:42.629, 50.01 
2023/11/20 16:28:42.635, 50.01 
2023/11/20 16:28:42.640, 50.01 
